id_jugador,nombre_completo
961,Julian Washburn
962,Mitch Creek
963,Jarred Vanderbilt
964,Brandon Sampson
965,Emanuel Terry
966,Joe Chealey
967,Ángel Delgado
968,Richard Solomon
969,Jordan Sibert
970,Bonzie Colson
971,Chris Chiozza
972,Cameron Reynolds
973,Tahjere McCall
974,B.J. Johnson
975,Dairis Bertāns
976,Zhaire Smith
977,Scott Machado
978,Cody Demps
979,Dusty Hannahs
980,Jemerrio Jones
981,Isaac Humphries
982,Billy Garrett
983,Nicolò Melli
984,Nickeil Alexander-Walker
985,Jaxson Hayes
986,Terence Davis
987,Dewan Hernandez
988,Matt Thomas
989,Zach Norvell
990,Mfiondu Kabengele
991,Terance Mann
992,Coby White
993,Daniel Gafford
994,P.J. Washington
995,Caleb Martin
996,Goga Bitadze
997,Darius Garland
998,Kevin Porter Jr.
999,Tyler Cook
1000,Dean Wade
1001,Jarrett Culver
1002,Kelan Martin
1003,Ja Morant
1004,Marko Guduric
1005,Brandon Clarke
1006,Tyler Herro
1007,Kendrick Nunn
1008,Chris Silva
1009,KZ Okpala
1010,Carsen Edwards
1011,Grant Williams
1012,Vincent Poirier
1013,Matisse Thybulle
1014,Rui Hachimura
1015,Admiral Schofield
1016,Garrison Mathews
1017,Justin Robinson
1018,Isaiah Roby
1019,RJ Barrett
1020,Ignas Brazdeikis
1021,Darius Bazley
1022,Stanton Kidd
1023,Nigel Williams-Goss
1024,Jared Harper
1025,Michael Porter Jr.
1026,Nassir Little
1027,De'Andre Hunter
1028,Cam Reddish
1029,Bruno Fernando
1030,Chris Clemons
1031,Eric Paschall
1032,Jordan Poole
1033,Ky Bowman
1034,Javonte Green
1035,Cody Martin
1036,Jalen McDaniels
1037,Justin James
1038,Jarrell Brantley
1039,Norvel Pelle
1040,Jordan Bone
1041,Tacko Fall
1042,Zylan Cheatham
1043,Cameron Johnson
1044,Talen Horton-Tucker
1045,Romeo Langford
1046,Devon Hall
1047,Vlatko Čančar
1048,Sekou Doumbouya
1049,Brian Bowen
1050,Miye Oni
1051,Nic Claxton
1052,John Konchar
1053,Charlie Brown Jr.
1054,Michael Frazier
1055,Jordan McLaughlin
1056,Jaylen Nowell
1057,Moses Brown
1058,Jaylen Hoard
1059,Oshae Brissett
1060,DaQuan Jeffries
1061,Keldon Johnson
1062,Naz Reid
1063,Max Strus
1064,Justin Wright-Foreman
1065,Juwan Morgan
1066,Kyle Guy
1067,Tremont Waters
1068,Shamorie Ponds
1069,Ty Jerome
1070,Marial Shayok
1071,Luguentz Dort
1072,Devontae Cacok
1073,Anžejs Pasečņiks
1074,Jalen Lecque
1075,Louis King
1076,Alen Smailagić
1077,Kevin Hervey
1078,Rayjon Tucker
1079,Adam Mokoka
1080,Amir Coffey
1081,Josh Reaves
1082,Levi Randolph
1083,Paul Watson
1084,Jeremiah Martin
1085,Matt Mooney
1086,Zion Williamson
1087,William Howard
1088,Vic Law
1089,Gabe Vincent
1090,Marques Bolden
1091,Eric Mika
1092,Tariq Owens
1093,Kyle Alexander
1094,Juan Toscano-Anderson
1095,Jeremy Pargo
1096,Quinndary Weatherspoon
1097,Malik Newman
1098,Donta Hall
1099,Luka Šamanić
1100,Mychal Mulder
1101,Dylan Windler
1102,Sir'Dominic Pointer
1103,Bol Bol
1104,James Wiseman
1105,Reggie Perry
1106,Daniel Oturu
1107,LaMelo Ball
1108,Vernon Carey Jr.
1109,Nick Richards
1110,Isaac Okoro
1111,Lamar Stevens
1112,Obi Toppin
1113,Immanuel Quickley
1114,Cassius Stanley
1115,Precious Achiuwa
1116,Chuma Okeke
1117,Cole Anthony
1118,Karim Mané
1119,Deni Avdija
1120,Anthony Gill
1121,Tyrese Maxey
1122,Isaiah Joe
1123,Dakota Mathias
1124,Kira Lewis Jr.
1125,Naji Marshall
1126,Malachi Flynn
1127,Sam Merrill
1128,Mamadi Diakite
1129,Jordan Nwora
1130,Payton Pritchard
1131,Aaron Nesmith
1132,Nathan Knight
1133,Skylar Mays
1134,Patrick Williams
1135,Devin Vassell
1136,Tre Jones
1137,Desmond Bane
1138,Sean McDermott
1139,Killian Hayes
1140,Saddiq Bey
1141,Saben Lee
1142,Isaiah Stewart
1143,Anthony Edwards
1144,Jaden McDaniels
1145,Tyrese Haliburton
1146,Jahmi'us Ramsey
1147,Robert Woodard II
1148,Facundo Campazzo
1149,R.J. Hampton
1150,Markus Howard
1151,Zeke Nnaji
1152,Udoka Azubuike
1153,Elijah Hughes
1154,CJ Elleby
1155,Keljin Blevins
1156,Josh Green
1157,Tyrell Terry
1158,Jalen Smith
1159,Ty-Shon Alexander
1160,Xavier Tillman Sr.
1161,Théo Maledon
1162,Aleksej Pokusevski
1163,Josh Hall
1164,Deividas Sirvydis
1165,Jae'Sean Tate
1166,Brodric Thomas
1167,Mason Jones
1168,Jontay Porter
1169,Devon Dotson
1170,Paul Reed
1171,Will Magnay
1172,Nate Hinton
1173,Kenyon Martin Jr.
1174,Nico Mannion
1175,Trent Forrest
1176,Jalen Harris
1177,Tyler Bey
1178,Cassius Winston
1179,Onyeka Okongwu
1180,Killian Tillie
1181,Ashton Hagans
1182,Greg Whittington
1183,Nate Darling
1184,Anthony Lamb
1185,Grant Riller
1186,Devin Cannady
1187,Armoni Brooks
1188,Malik Fitts
1189,Freddie Gillespie
1190,Robert Franks
1191,Amida Brimah
1192,Didi Louzada
1193,Gabriel Deck
1194,Jay Scrubb
1195,Cameron Oliver
1196,Elijah Bryant
1197,Cam Thomas
1198,David Duke Jr.
1199,Kessler Edwards
1200,Sandro Mamukelashvili
1201,Georgios Kalaitzakis
1202,Moses Moody
1203,Austin Reaves
1204,Chris Duarte
1205,Isaiah Jackson
1206,Duane Washington Jr.
1207,James Bouknight
1208,Kai Jones
1209,Arnoldas Kulboka
1210,JT Thor
1211,Ayo Dosunmu
1212,Marko Simonovic
1213,Luka Garza
1214,Jamorko Pickett
1215,Sam Hauser
1216,Jericho Sims
1217,Quentin Grimes
1218,Miles McBride
1219,Corey Kispert
1220,Isaiah Todd
1221,Scottie Barnes
1222,Dalano Banton
1223,Justin Champagnie
1224,David Johnson
1225,Evan Mobley
1226,RJ Nembhard Jr.
1227,Kevin Pangos
1228,Ziaire Williams
1229,Santi Aldama
1230,Jalen Green
1231,Alperen Şengün
1232,Josh Christopher
1233,Usman Garuba
1234,Leandro Bolmaro
1235,McKinley Wright IV
1236,Charles Bassey
1237,Aaron Henry
1238,Jaden Springer
1239,Trey Murphy III
1240,Herbert Jones
1241,Jose Alvarado
1242,Franz Wagner
1243,Jalen Suggs
1244,Joshua Primo
1245,Jock Landale
1246,Josh Giddey
1247,Tre Mann
1248,Jeremiah Robinson-Earl
1249,Vit Krejci
1250,Jared Butler
1251,Davion Mitchell
1252,Greg Brown III
1253,Petr Cornelie
1254,Bones Hyland
1255,Jalen Johnson
1256,Sharife Cooper
1257,Omer Yurtseven
1258,Marcus Garrett
1259,Brandon Boston Jr.
1260,Jeff Dowtin
1261,DeJon Jarreau
1262,Joel Ayayi
1263,Day'Ron Sharpe
1264,Aaron Wiggins
1265,Daulton Hommes
1266,JaQuori McLaughlin
1267,Eugene Omoruyi
1268,Keon Johnson
1269,Cade Cunningham
1270,Jonathan Kuminga
1271,Joe Wieskamp
1272,Ish Wainright
1273,Jay Huff
